location_name,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Slovenia,4/14/2020,4/3/2020,4/15/2020,4/12/2020,4/9/2020,4/14/2020,4/12/2020,4/9/2020,4/14/2020,9248,172,6553,105,2695,67,3/16/2020,4/30/2020,,,3/16/2020,,3/12/2020,,3/15/2020,,3/15/2020,4/20/2020
Sonora,8/27/2020,6/1/2020,8/27/2020,8/27/2020,6/3/2020,8/27/2020,8/27/2020,6/3/2020,8/27/2020,3398,191,2307,158,1091,33,,,4/12/2020,,3/16/2020,,3/17/2020,,3/23/2020,,3/30/2020,
South Carolina,5/1/2020,4/28/2020,5/4/2020,5/1/2020,5/1/2020,5/4/2020,5/1/2020,4/30/2020,5/4/2020,13707,1244,9027,839,4680,405,,,4/7/2020,5/4/2020,3/16/2020,,3/18/2020,,3/18/2020,5/31/2020,,
South Dakota,5/14/2020,5/6/2020,8/8/2020,5/14/2020,5/12/2020,8/10/2020,5/14/2020,5/11/2020,8/8/2020,4733,202,2927,128,1806,74,,,,,3/16/2020,,4/6/2020,4/28/2020,,,,
Spain,3/31/2020,3/31/2020,8/27/2020,4/2/2020,4/1/2020,8/27/2020,4/1/2020,4/1/2020,8/27/2020,137254,4043,104258,2832,32996,1211,,,,,,,,,,,,
Sweden,4/19/2020,4/16/2020,8/27/2020,4/20/2020,4/18/2020,8/27/2020,4/19/2020,4/17/2020,8/27/2020,29387,1077,22306,385,7081,692,,,,,,,3/11/2020,,,,,
Switzerland,8/27/2020,4/4/2020,8/27/2020,8/27/2020,4/5/2020,8/27/2020,8/27/2020,4/4/2020,8/27/2020,39981,1057,33455,842,6526,215,,,,,3/13/2020,,2/28/2020,,3/16/2020,,3/16/2020,4/27/2020
Tabasco,8/27/2020,5/30/2020,8/27/2020,8/27/2020,6/1/2020,8/27/2020,8/27/2020,6/1/2020,8/27/2020,1980,104,1372,86,608,18,,,,,3/22/2020,,3/14/2020,,3/23/2020,,4/1/2020,
Tamaulipas,8/27/2020,8/19/2020,8/27/2020,8/27/2020,8/20/2020,8/27/2020,8/27/2020,8/20/2020,8/27/2020,3663,209,2266,164,1397,45,,,,,3/16/2020,,3/13/2020,,3/23/2020,,3/30/2020,
Tennessee,12/27/2020,4/5/2020,12/27/2020,12/27/2020,4/8/2020,12/27/2020,12/27/2020,4/6/2020,12/27/2020,21784,1834,13972,1205,7812,629,,,4/2/2020,4/29/2020,3/20/2020,,3/23/2020,,3/23/2020,,4/1/2020,
Texas,12/16/2020,10/12/2020,12/27/2020,12/16/2020,10/13/2020,12/27/2020,12/15/2020,10/12/2020,12/27/2020,77428,6378,48794,4118,28634,2260,,,4/2/2020,5/1/2020,3/19/2020,,3/21/2020,,3/21/2020,,,
Thuringia,4/29/2020,4/21/2020,4/29/2020,4/29/2020,4/24/2020,4/29/2020,4/29/2020,4/23/2020,4/29/2020,,,,,,,,,3/22/2020,5/13/2020,3/17/2020,,3/22/2020,,3/15/2020,,,
Tlaxcala,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,8/27/2020,918,43,585,34,333,9,,,,,3/15/2020,,3/27/2020,,3/23/2020,,3/23/2020,
Tocantins,8/7/2020,7/14/2020,8/27/2020,8/8/2020,7/14/2020,8/27/2020,8/8/2020,7/14/2020,8/27/2020,2503,119,1961,101,542,18,,,,,3/18/2020,,3/21/2020,,,,,
Toscana,4/14/2020,4/7/2020,4/16/2020,4/14/2020,4/9/2020,4/16/2020,4/14/2020,4/9/2020,4/16/2020,12327,430,9589,315,2738,115,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Turkey,4/16/2020,4/13/2020,4/19/2020,4/18/2020,4/16/2020,4/20/2020,4/17/2020,4/16/2020,4/19/2020,211898,29451,140891,18785,71007,10666,,,,,3/16/2020,,3/16/2020,,3/16/2020,,,
Ukraine,8/27/2020,5/12/2020,8/27/2020,8/27/2020,5/12/2020,8/27/2020,8/27/2020,5/12/2020,8/27/2020,360751,5220,321837,3932,38914,1288,,,,,3/12/2020,,3/12/2020,,3/12/2020,,3/17/2020,5/11/2020
Umbria,3/26/2020,3/25/2020,3/27/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020,3062,101,2381,73,681,28,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
United Kingdom,4/12/2020,4/11/2020,4/14/2020,4/14/2020,4/13/2020,4/14/2020,4/13/2020,4/13/2020,4/14/2020,180302,5872,151633,4625,28669,1247,,,3/23/2020,,3/23/2020,,3/23/2020,,3/20/2020,,3/24/2020,
United States of America,12/27/2020,1/5/2020,12/27/2020,12/27/2020,1/8/2020,12/27/2020,12/27/2020,1/8/2020,12/27/2020,,,,,,,,,,,,,,,,,,
Utah,10/7/2020,9/13/2020,12/27/2020,10/9/2020,9/15/2020,12/27/2020,10/9/2020,9/14/2020,12/27/2020,6726,428,3955,257,2771,171,,,,,3/16/2020,,3/19/2020,,3/19/2020,,,
Valencian Community,4/1/2020,3/31/2020,4/3/2020,4/3/2020,4/2/2020,4/3/2020,4/2/2020,4/1/2020,4/3/2020,,,,,,,,,3/15/2020,5/11/2020,3/14/2020,,3/15/2020,,3/15/2020,,3/15/2020,4/13/2020
Valle d'Aosta,3/30/2020,3/29/2020,4/1/2020,3/30/2020,3/30/2020,4/2/2020,3/30/2020,3/30/2020,4/1/2020,416,14,323,10,93,4,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/5/2020,,3/11/2020,,3/11/2020,,3/11/2020,4/14/2020
Veneto,4/3/2020,4/1/2020,4/6/2020,4/4/2020,4/3/2020,4/6/2020,4/4/2020,4/3/2020,4/5/2020,16395,564,12753,413,3642,151,3/22/2020,5/4/2020,3/11/2020,6/3/2020,3/1/2020,,2/22/2020,,2/22/2020,,3/11/2020,4/14/2020
Veracruz de Ignacio de la Llave,8/27/2020,6/30/2020,8/27/2020,8/27/2020,6/26/2020,8/27/2020,8/27/2020,6/27/2020,8/27/2020,6069,212,3935,169,2134,43,,,,,3/16/2020,,3/16/2020,,3/23/2020,,3/30/2020,
Vermont,3/27/2020,3/27/2020,12/27/2020,3/27/2020,3/27/2020,12/27/2020,3/27/2020,3/27/2020,12/27/2020,1525,102,992,68,533,34,,,3/24/2020,5/15/2020,3/18/2020,,3/13/2020,,3/17/2020,,3/25/2020,5/4/2020
Virginia,5/4/2020,4/28/2020,5/13/2020,5/4/2020,5/1/2020,5/11/2020,5/4/2020,4/30/2020,5/9/2020,23270,1241,16689,912,6581,329,,,3/30/2020,6/10/2020,3/16/2020,,3/15/2020,,3/17/2020,,3/24/2020,5/15/2020
Washington,12/27/2020,4/3/2020,12/27/2020,12/27/2020,4/6/2020,12/27/2020,12/27/2020,4/6/2020,12/27/2020,15235,1116,10328,775,4907,341,,,3/23/2020,5/31/2020,3/13/2020,,3/11/2020,,3/16/2020,,3/25/2020,
West Virginia,12/27/2020,4/18/2020,12/27/2020,12/27/2020,4/25/2020,12/27/2020,12/27/2020,4/25/2020,12/27/2020,8403,568,5371,372,3032,196,,,3/25/2020,5/4/2020,3/14/2020,,3/24/2020,,3/18/2020,,3/24/2020,5/4/2020
Wisconsin,11/10/2020,10/8/2020,12/27/2020,11/12/2020,10/8/2020,12/27/2020,11/11/2020,10/8/2020,12/27/2020,14232,476,8867,303,5365,173,,,3/25/2020,5/13/2020,3/18/2020,,3/17/2020,,3/17/2020,,3/25/2020,5/11/2020
Wyoming,5/24/2020,5/22/2020,12/25/2020,5/24/2020,5/24/2020,12/26/2020,5/24/2020,5/24/2020,12/26/2020,2453,105,1384,60,1069,45,,,,,3/19/2020,,3/20/2020,,3/19/2020,5/15/2020,,
Yucatan,8/27/2020,6/25/2020,8/27/2020,8/27/2020,8/24/2020,8/27/2020,8/27/2020,8/26/2020,8/27/2020,2147,156,1798,139,349,17,,,,,3/16/2020,,3/26/2020,,3/23/2020,,3/30/2020,
Zacatecas,8/27/2020,8/3/2020,8/27/2020,8/27/2020,8/4/2020,8/27/2020,8/27/2020,8/4/2020,8/27/2020,1262,59,794,46,468,13,,,,,3/23/2020,,3/15/2020,,3/23/2020,,3/30/2020,
