Continent,Country,Province,pop2016
Asia,Cambodia,None,15762370
Africa,Cameroon,None,23439189
North America,Canada,Alberta,4345737
North America,Canada,British Columbia,5020302
North America,Canada,Manitoba,1360396
North America,Canada,New Brunswick,772094
North America,Canada,Newfoundland and Labrador,523790
North America,Canada,None,36286425
North America,Canada,Northwest Territories,44598
North America,Canada,Nova Scotia,965382
North America,Canada,Ontario,14446515
North America,Canada,Prince Edward Island,154748
North America,Canada,Quebec,8433301
North America,Canada,Recovered,38787
North America,Canada,Saskatchewan,1168423
North America,Canada,Yukon,40369
North America,Cayman Islands,None,60765
Africa,Central African Republic,None,4594621
Africa,Chad,None,14452543
Europe,Channel Islands,None,164541
South America,Chile,None,17909754
Asia,China,None,1378665000
South America,Colombia,None,48653419
Africa,Comoros,None,795601
Africa,Congo (Brazzaville),None,5125821
Africa,Congo (Kinshasa),None,78736153
North America,Costa Rica,None,4857274
Africa,Cote d'Ivoire,None,23695919
Europe,Croatia,None,4170600
North America,Cuba,None,11475982
South America,Curacao,None,159999
Europe,Cyprus,None,1170125
Europe,Czechia,None,10561633
Europe,Denmark,None,5731118
Africa,Djibouti,None,942333
North America,Dominica,None,73543
North America,Dominican Republic,None,10648791
South America,Ecuador,None,16385068
Africa,Egypt,None,95688681
North America,El Salvador,None,6344722
Africa,Equatorial Guinea,None,1221490
Europe,Estonia,None,1316481
Africa,Ethiopia,None,102403196
Europe,Faroe Islands,None,49117
Oceania,Fiji,None,898760
Europe,Finland,None,5495096
Europe,France,None,66896109
Oceania,French Polynesia,None,280208
Africa,Gabon,None,1979786
Africa,Gambia,None,2038501
Asia,Georgia,None,3719300
Europe,Germany,None,82667685
Africa,Ghana,None,28206728
Europe,Gibraltar,None,34408
Europe,Greece,None,10746740
North America,Greenland,None,56186
North America,Grenada,None,107317
Oceania,Guam,None,162896
North America,Guatemala,None,16582469
Africa,Guinea,None,12395924
Africa,Guinea-Bissau,None,1815698
South America,Guyana,None,773303
North America,Haiti,None,10847334
North America,Honduras,None,9112867
Asia,Hong Kong,None,7346700
Europe,Hungary,None,9817958
Europe,Iceland,None,334252
Asia,India,None,1324171354
Asia,Indonesia,None,261115456
Asia,Iran,None,80277428
Asia,Iraq,None,37202572
Europe,Ireland,None,4773095
Europe,Isle of Man,None,83737
Asia,Israel,None,8547100
Europe,Italy,None,60600590
Africa,Jamaica,None,2881355
Asia,Japan,None,126994511
Asia,Jordan,None,9455802
Asia,Kazakhstan,None,17797032
Africa,Kenya,None,48461567
Oceania,Kiribati,None,114395
Asia,"Korea, North",None,25368620
Asia,"Korea, South",None,51245707
Europe,Kosovo,None,1816200
Asia,Kuwait,None,4052584
Asia,Kyrgyz Republic,None,6082700
Asia,Lao PDR,None,6758353
Europe,Latvia,None,1960424
Asia,Lebanon,None,6006668
Africa,Lesotho,None,2203821
Africa,Liberia,None,4613823
Africa,Libya,None,6293253
Europe,Liechtenstein,None,37666
Europe,Lithuania,None,2872298
Europe,Luxembourg,None,582972
Asia,"Macao SAR, China",None,612167
Africa,Madagascar,None,24894551
Africa,Malawi,None,18091575
Asia,Malaysia,None,31187265
Asia,Maldives,None,417492
Africa,Mali,None,17994837
Europe,Malta,None,436947
Oceania,Marshall Islands,None,53066
Africa,Mauritania,None,4301018
Africa,Mauritius,None,1263473
North America,Mexico,None,127540423
Oceania,"Micronesia, Fed. Sts.",None,104937
Europe,Moldova,None,3552000
Europe,Monaco,None,38499
Asia,Mongolia,None,3027398
Europe,Montenegro,None,622781
Africa,Morocco,None,35276786
Africa,Mozambique,None,28829476
Asia,Myanmar,None,52885223
Africa,Namibia,None,2479713
Oceania,Nauru,None,13049
Asia,Nepal,None,28982771
Europe,Netherlands,None,17018408
Oceania,New Caledonia,None,278000
Oceania,New Zealand,None,4692700
North America,Nicaragua,None,6149928
Africa,Niger,None,20672987
Africa,Nigeria,None,185989640
Europe,North Macedonia,None,2081206
Oceania,Northern Mariana Islands,None,55023
Europe,Norway,None,5232929
Asia,Oman,None,4424762
Asia,Pakistan,None,193203476
Oceania,Palau,None,21503
North America,Panama,None,4034119
Oceania,Papua New Guinea,None,8084991
South America,Paraguay,None,6725308
South America,Peru,Amazonas,379384
South America,Peru,Ancash,1083519
South America,Peru,Apurimac,405759
South America,Peru,Arequipa,1382730
South America,Peru,Ayacucho,616176
South America,Peru,Cajamarca,1341012
South America,Peru,Callao,994494
South America,Peru,Cusco,1205527
South America,Peru,Huancavelica,347639
South America,Peru,Huanuco,721047
South America,Peru,Ica,850765
South America,Peru,Junin,1246038
South America,Peru,La Libertad,1778080
South America,Peru,Lambayeque,1197260
South America,Peru,Lima,9485405
South America,Peru,Loreto,883510
South America,Peru,Madre de dios,141070
South America,Peru,Moquegua,174863
South America,Peru,None,31773839
South America,Peru,Pasco,254065
South America,Peru,Piura,1856809
South America,Peru,Puno,1172697
South America,Peru,San Martin,813381
South America,Peru,Tacna,329332
South America,Peru,Tumbes,224863
South America,Peru,Ucayali,496459
Asia,Philippines,None,103320222
Europe,Poland,None,37948016
Europe,Portugal,None,10324611
North America,Puerto Rico,None,3411307
Asia,Qatar,None,2569804
Europe,Romania,None,19705301
Africa,Rwanda,None,11917508
Oceania,Samoa,None,195125
Europe,San Marino,None,33203
Africa,Sao Tome and Principe,None,199910
Asia,Saudi Arabia,None,32275687
Africa,Senegal,None,15411614
Europe,Serbia,None,7057412
Africa,Seychelles,None,94677
Africa,Sierra Leone,None,7396190
Asia,Singapore,None,5607283
North America,Sint Maarten (Dutch part),None,40005
Europe,Slovakia,None,5428704
Europe,Slovenia,None,2064845
Oceania,Solomon Islands,None,599419
Africa,Somalia,None,14317996
Africa,South Africa,Eastern Cape,6712276
Africa,South Africa,Free State,2887465
Africa,South Africa,Gauteng,15176116
Africa,South Africa,KwaZulu Natal,11289086
Africa,South Africa,Limpopo,5982584
Africa,South Africa,Mpumalanga,4592187
Africa,South Africa,None,55908865
Africa,South Africa,North West,4027160
Africa,South Africa,Northern Cape,1263875
Africa,South Africa,Western Cape,6844272
Africa,South Sudan,None,12230730
Europe,Spain,None,46443959
Asia,Sri Lanka,None,21203000
North America,St. Kitts and Nevis,None,54821
North America,St. Lucia,None,178015
North America,St. Martin (French part),None,31949
North America,St. Vincent and the Grenadines,None,109643
Africa,Sudan,None,39578828
South America,Suriname,None,558368
Africa,Swaziland,None,1343098
Europe,Sweden,None,9903122
Europe,Switzerland,None,8372098
Asia,Syrian Arab Republic,None,18430453
Asia,Tajikistan,None,8734951
Africa,Tanzania,None,55572201
Asia,Thailand,None,68863514
Asia,Timor-Leste,None,1268671
Africa,Togo,None,7606374
Oceania,Tonga,None,107122
South America,Trinidad and Tobago,None,1364962
Africa,Tunisia,None,11403248
Asia,Turkey,None,79512426
Asia,Turkmenistan,None,5662544
North America,Turks and Caicos Islands,None,34900
Oceania,Tuvalu,None,11097
North America,US,Alabama,4903185
North America,US,Alaska,731545
North America,US,Arizona,7278717
North America,US,Arkansas,3017804
North America,US,California,39512223
North America,US,Chicago Metropolitan,8865000
North America,US,Colorado,5758736
North America,US,Connecticut,3565287
North America,US,Delaware,973764
North America,US,Detroit Metropolitan,3880899
North America,US,District of Columbia,705749
North America,US,Florida,21477737
North America,US,Georgia,10617423
North America,US,Hawaii,1415872
North America,US,Idaho,1787065
North America,US,Illinois,12671821
North America,US,Indiana,6732219
North America,US,Iowa,3155070
North America,US,Kansas,2913314
North America,US,Kentucky,4467673
North America,US,Louisiana,4648794
North America,US,Maine,1344212
North America,US,Maryland,6045680
North America,US,Massachusetts,6892503
North America,US,Michigan,9986857
North America,US,Minnesota,5639632
North America,US,Mississippi,2976149
North America,US,Missouri,6137428
North America,US,Montana,1068778
North America,US,NY-NJ Metropolitan,11834851
North America,US,Nebraska,1934408
North America,US,Nevada,3080156
North America,US,New Hampshire,1359711
North America,US,New Jersey,8882190
North America,US,New Mexico,2096829
North America,US,New York,19453561
North America,US,North Carolina,10488084
North America,US,North Dakota,762062
North America,US,Ohio,11689100
North America,US,Oklahoma,3956971
North America,US,Oregon,4217737
North America,US,Pennsylvania,12801989
North America,US,Rhode Island,1059361
North America,US,South Carolina,5148714
North America,US,South Dakota,884659
North America,US,Tennessee,6829174
North America,US,Texas,28995881
North America,US,Utah,3205958
North America,US,Vermont,623989
North America,US,Virginia,8535519
North America,US,Washington,7614893
North America,US,West Virginia,1792147
North America,US,Wisconsin,5822434
North America,US,Wyoming,578759
North America,US,Birmingham_Hoover,1090435
North America,US,Mobile,429536
North America,US,Phoenix,4948203
North America,US,Tucson,1047279
North America,US,Los_Angeles_Long_Beach_Orange_County,13214799
North America,US,San_Jose_Sunnyvale_Santa Clara,1990660
North America,US,San_Diego_Chula_Vista_Carlsbad,3338330
North America,US,New_Haven_Milford,854757
North America,US,Philadelphia_Camden_Wilmington,6102434
North America,US,Washington_Arlington_Alexandria,6267226
North America,US,Miami_Fort_Lauderdale_Pompano_Beach,6166488
North America,US,Orlando_Kissimmee_Sanford,2608147
North America,US,Atlanta_Sandy_Springs_Alpharetta,6020364
North America,US,St._Louis,2803228
North America,US,Chicago_Naperville_Elgin,9458539
North America,US,Cincinnati,2221208
North America,US,Omaha_Council_Bluffs,949442
North America,US,New_Orleans_Metairie,1270530
North America,US,Baltimore_Columbia_Towson,2800053
North America,US,Boston_Cambridge_Newton,4873019
North America,US,Detroit_Warren_Dearborn,4319629
North America,US,Minneapolis,3640043
North America,US,Las Vegas_Henderson_Paradise,2266715
North America,US,New_York_Newark_Jersey City,19216182
North America,US,Rochester,1069644
North America,US,Durham_Chapel_Hill,644367
North America,US,Cleveland_Elyria,2048449
North America,US,Columbus,2122271
North America,US,Pittsburgh,2317600
North America,US,Sioux_Falls,268232
North America,US,Knoxville,869046
North America,US,Nashville_Davidson_Murfreesboro_Franklin,1934317
North America,US,Houston_The_Woodlands_Sugar_Land,7066141
North America,US,Austin_Round_Rock_Georgetown,2227083
North America,US,Dallas_Fort_Worth_Arlington,7573136
North America,US,Seattle_Tacoma_Bellevue,3979845
Africa,Uganda,None,41487965
Europe,Ukraine,None,45004645
Asia,United Arab Emirates,None,9269612
Europe,United Kingdom,None,65637239
North America,United States,None,323127513
South America,Uruguay,None,3444006
Asia,Uzbekistan,None,31848200
Oceania,Vanuatu,None,270402
South America,Venezuela,None,31568179
Asia,Vietnam,None,92701100
North America,Virgin Islands (U.S.),None,102951
Asia,Yemen,None,27584213
Africa,Zambia,None,16591390
Africa,Zimbabwe,None,16150362
Asia,Russia,Altayskiy Kray,2317052
Asia,Russia,Amursk Oblast,790676
Asia,Russia,Arkhangelsk Oblast,1136387
Asia,Russia,Astrahan Oblast,1005967
Asia,Russia,Belgorod Oblast,1547532
Asia,Russia,Briansk Oblast,1192570
Asia,Russia,Chechen Republic,1476752
Asia,Russia,Cheliabinsk Oblast,3466960
Asia,Russia,Chukotskiy Autonomous Oblast,50726
Asia,Russia,Habarovskiy Kray,1315310
Asia,Russia,Hanty-Mansiyskiy AO,1674086
Asia,Russia,Ingushetia Republic,506688
Asia,Russia,Irkutsk Oblast,2390827
Asia,Russia,Ivanovo Oblast,997196
Asia,Russia,Jewish Autonomous Oblast,158381
Asia,Russia,Kaliningrad Oblast,1012253
Asia,Russia,Kaluga Oblast,1000070
Asia,Russia,Kamchatskiy Kray,312438
Asia,Russia,Kemerovo Oblast,2657758
Asia,Russia,Kirov Oblast,1262549
Asia,Russia,Komi Republic,820171
Asia,Russia,Kostroma Oblast,633392
Asia,Russia,Krasnodarskiy Kray,5677786
Asia,Russia,Krasnoyarskiy Kray,2867875
Asia,Russia,Kurgan Oblast,826941
Asia,Russia,Kursk Oblast,1103059
Asia,Russia,Leningradskaya Oblast,1876392
Asia,Russia,Lipetsk Oblast,1139492
Asia,Russia,Magadan Oblast,140199
Asia,Russia,Moscow,12692466
Asia,Russia,Moscow Oblast,7687647
Asia,Russia,Murmansk Oblast,741511
Asia,Russia,Nenetskiy Autonomous Oblast,44110
Asia,Russia,Nizhegorodskaya Oblast,3203818
Asia,Russia,Novgorod Oblast,596173
Asia,Russia,Novosibirsk Oblast,2798251
Asia,Russia,Omsk Oblast,1926562
Asia,Russia,Orel Oblast,733682
Asia,Russia,Orenburg Oblast,1956256
Asia,Russia,Pensa Oblast,1304825
Asia,Russia,Perm Oblast,2599301
Asia,Russia,Primorskiy Kray,1895305
Asia,Russia,Pskov Oblast,626046
Asia,Russia,Republic of Adygeia,463453
Asia,Russia,Republic of Bashkortostan,4037811
Asia,Russia,Republic of Buriatia,986109
Asia,Russia,Republic of Chuvashia,1217820
Asia,Russia,Republic of Dagestan,3111353
Asia,Russia,Republic of Hakassia,534186
Asia,Russia,Republic of Kabardino-Balkaria,868174
Asia,Russia,Republic of Kalmykia,271035
Asia,Russia,Republic of Karachaevo-Cherkessia,465669
Asia,Russia,Republic of Karelia,614628
Asia,Russia,Republic of Mariy El,679094
Asia,Russia,Republic of Mordovia,790829
Asia,Russia,Republic of North Osetia-Alania,697064
Asia,Russia,Republic of Tatarstan,3902642
Asia,Russia,Republic of Tyva,327388
Asia,Russia,Republic of Udmurtia,1501005
Asia,Russia,Rostov Oblast,4195327
Asia,Russia,Ryazan Oblast,1108924
Asia,Russia,Saha Republic,970105
Asia,Russia,Saint Petersburg,5392992
Asia,Russia,Sakhalin Oblast,488453
Asia,Russia,Samara Oblast,3179026
Asia,Russia,Saratov Oblast,2421785
Asia,Russia,Smolensk Oblast,934747
Asia,Russia,Stavropolskiy Kray,2803021
Asia,Russia,Sverdlov Oblast,4310861
Asia,Russia,Tambov Oblast,1006962
Asia,Russia,Tomsk Oblast,1079051
Asia,Russia,Tula Oblast,1466025
Asia,Russia,Tumen Oblast,3755778
Asia,Russia,Tver Oblast,1260345
Asia,Russia,Ulianovsk Oblast,1229687
Asia,Russia,Vladimir Oblast,1358538
Asia,Russia,Volgograd Oblast,2491751
Asia,Russia,Vologda Oblast,1160721
Asia,Russia,Voronezh Oblast,2323657
Asia,Russia,Yamalo-Nenetskiy AO,544008
Asia,Russia,Yaroslavl Oblast,1253189
Asia,Russia,Zabaykalskiy Kray,1059657
Asia,Russia,Altai Republic,220140
South America,Chile,Antofagasta,607534.0
South America,Chile,Araucania,957224.0
South America,Chile,Arica y Parinacota,226068.0
South America,Chile,Atacama,286168.0
South America,Chile,Aysen,103158.0
South America,Chile,Biobio,1556805.0
South America,Chile,Coquimbo,757586.0
South America,Chile,Los Lagos,828708.0
South America,Chile,Los Rios,384837.0
South America,Chile,Magallanes,166533.0
South America,Chile,Maule,1044950.0
South America,Chile,Nuble,480609.0
South America,Chile,O'Higgins,914555.0
South America,Chile,Santiago,7112808.0
South America,Chile,Tarapaca,330558.0
South America,Chile,Valparaiso,1815902.0
North America,Mexico,Aguascalientes,1434635.0
North America,Mexico,Baja California,3634868.0
North America,Mexico,Baja California Sur,804708.0
North America,Mexico,Campeche,1000617.0
North America,Mexico,Chiapas,5730367.0
North America,Mexico,Chihuahua,3801487.0
North America,Mexico,Ciudad de Mexico,9018645.0
North America,Mexico,Coahuila,3218720.0
North America,Mexico,Colima,785153.0
North America,Mexico,Durango,1868996.0
North America,Mexico,Guanajuato,6228175.0
North America,Mexico,Guerrero,3657048.0
North America,Mexico,Hidalgo,3086414.0
North America,Mexico,Jalisco,8409693.0
North America,Mexico,Mexico,17427790.0
North America,Mexico,Michoacan,4825401.0
North America,Mexico,Morelos,2044058.0
North America,Mexico,Nayarit,1288571.0
North America,Mexico,Nuevo Leon,5610153.0
North America,Mexico,Oaxaca,4143593.0
North America,Mexico,Puebla,6604451.0
North America,Mexico,Queretaro,2279637.0
North America,Mexico,Quintana Roo,1723259.0
North America,Mexico,San Luis Potosi,2866142.0
North America,Mexico,Sinaloa,3156674.0
North America,Mexico,Sonora,3074745.0
North America,Mexico,Tabasco,2572287.0
North America,Mexico,Tamaulipas,3650602.0
North America,Mexico,Tlaxcala,1380011.0
North America,Mexico,Veracruz,8539862.0
North America,Mexico,Yucatan,2259098.0
North America,Mexico,Zacatecas,1666426.0
South America,Colombia,Amazonas,76589.0
South America,Colombia,Antioquia,6407102.0
South America,Colombia,Arauca,262174.0
South America,Colombia,Atlantico,2535517.0
South America,Colombia,Bogota,7412566.0
South America,Colombia,Bolivar,2070110.0
South America,Colombia,Boyaca,1217376.0
South America,Colombia,Caldas,998255.0
South America,Colombia,Caqueta,401489.0
South America,Colombia,Casanare,420504.0
South America,Colombia,Cauca,1464488.0
South America,Colombia,Cesar,1200574.0
South America,Colombia,Choco,534826.0
South America,Colombia,Cordoba,1784783.0
South America,Colombia,Cundinamarca,2919060.0
South America,Colombia,Guainia,48114.0
South America,Colombia,Guaviare,82767.0
South America,Colombia,Huila,1100386.0
South America,Colombia,La Guajira,880560.0
South America,Colombia,Magdalena,1341746.0
South America,Colombia,Meta,1039722.0
South America,Colombia,Narino,1630592.0
South America,Colombia,Norte de Santander,1491689.0
South America,Colombia,Putumayo,348182.0
South America,Colombia,Quindio,539904.0
South America,Colombia,Risaralda,943401.0
South America,Colombia,San Andres y Providencia,61280.0
South America,Colombia,Santander,2184837.0
South America,Colombia,Sucre,904863.0
South America,Colombia,Tolima,1330187.0
South America,Colombia,Valle del Cauca,4475886.0
South America,Colombia,Vaupes,40797.0
South America,Colombia,Vichada,107808.0
